<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2000.01.11	00:00:00	1.57000	1.57080	1.56760	1.56890	507	0	60
2000.01.11	04:00:00	1.56900	1.56900	1.56330	1.56350	752	0	60
2000.01.11	08:00:00	1.56410	1.56660	1.55940	1.56210	1987	0	60
2000.01.11	12:00:00	1.56210	1.56940	1.56120	1.56390	1946	0	60
2000.01.11	16:00:00	1.56410	1.56470	1.55840	1.56150	1564	0	60
2000.01.11	20:00:00	1.56160	1.56180	1.55760	1.55840	643	0	60
2000.01.12	00:00:00	1.55820	1.56060	1.55760	1.55950	534	0	60
2000.01.12	04:00:00	1.55890	1.56020	1.55550	1.55900	910	0	60
2000.01.12	08:00:00	1.55880	1.56070	1.55240	1.55890	2219	0	60
2000.01.12	12:00:00	1.55900	1.56620	1.55810	1.56230	2237	0	60
2000.01.12	16:00:00	1.56250	1.56870	1.56250	1.56370	1302	0	60
2000.01.12	20:00:00	1.56350	1.56380	1.56170	1.56320	526	0	60
2000.01.13	00:00:00	1.56310	1.56490	1.56200	1.56370	677	0	60
2000.01.13	04:00:00	1.56430	1.56750	1.56280	1.56500	612	0	60
2000.01.13	08:00:00	1.56550	1.56680	1.56230	1.56430	1967	0	60
2000.01.13	12:00:00	1.56400	1.57430	1.56290	1.57170	2229	0	60
2000.01.13	16:00:00	1.57200	1.57320	1.56850	1.57170	1233	0	60
2000.01.13	20:00:00	1.57160	1.57280	1.57090	1.57170	258	0	60
